ContryOfContractor,CountryOfOwnerOperator,LaunchSite
ALL,ALL,ALL
Argentina,Argentina,Baikonur Cosmodrome
Belgium,Australia,Cape Canaveral
Brazil,Austria,Dombarovsky Air Base
Canada,Azerbaijan,Guiana Space Center
China,Belarus,International Space Station
Denmark,Belgium,Jiuquan Satellite Launch Center
France,Bolivia,Kodiak Launch Complex
Germany,Brazil,Kwajalein Island
India,Canada,Naro Space Center
Indonesia,Chile,Palmachim Launch Complex 
Israel,China,Plesetsk Cosmodrome
Italy,Denmark,Satish Dhawan Space Center
Japan,Egypt,Sea Launch (Odyssey)
Luxembourg,France,Svobodny Cosmodrome
Netherlands,Germany,Taiyuan Launch Center
Peru,Greece,Tanegashima Space Center
Poland,India,Uchinoura Space Center
Russia,Indonesia,Vandenberg AFB
Saudi Arabia,Iran,Vostochny Cosmodrome
Singapore,Iraq,Wallops Island Flight Facility
South Korea,Israel,Xichang Satellite Launch Center
Spain,Italy,
Switzerland,Japan,
Turkey,Kazakhstan,
Ukraine,Laos,
United Kingdom,Luxembourg,
Uruguay,Malaysia,
USA ,Mexico,
,Netherlands,
,Nigeria,
,Norway,
,Pakistan,
,Russia,
,Saudi Arabia,
,Singapore,
,South Africa,
,South Korea,
,Spain,
,Sweden,
,Switzerland,
,Taiwan,
,Thailand,
,Turkey,
,Ukraine,
,United Arab Emirates,
,United Kingdom,
,Uruguay,
,USA,
,Venezuela,
,Vietnam,
