LaunchLocation,lat,lon,Country
Baikonur Cosmodrome,45.6,63.4,Kazakhstan
Cape Canaveral,28.5,-81,USA
Dombarovsky Air Base,50.75,59.53,Russia
Guiana Space Center,5.2079,-52.7724,French Guiana
International Space Station,78,162,ISS
Jiuquan Satellite Launch Center,40.96,99.9,China
Kodiak Launch Complex,57.435,-152,Alaska
Kwajalein Island,8.716,167.73,Republic of the Marshall Islands
Naro Space Center,34.441,127.53,South Korea
Palmachim Launch Complex ,31.5,34.5,Israel
Plesetsk Cosmodrome,62.8,40.1,Russia
Satish Dhawan Space Center,13.9,80.4,India
Sea Launch (Odyssey),-27,-125,Sea Launch
Svobodny Cosmodrome,51.4,128.3,Russia
Taiyuan Launch Center,37.5,112.6,China
Tanegashima Space Center,30.4,131,Japan
Uchinoura Space Center,31.25,131.07,Japan
Vandenberg AFB,34.4,-120.35,USA
Vostochny Cosmodrome,51,128,Russia
Wallops Island Flight Facility,37.8,-75.5,USA
Xichang Satellite Launch Center,28.25,102,China
