LaunchSite,NameOfSatellite,CountryOrgOfUNRegistry,CountryOfOperatoOwner,Operator.Owner,Users,Purpose,ClassOfOrbit,Perigee,Apogee,MeanDistance,Radius,LaunchMass,DateOfLaunch,Contractor,CountryOfContractor,LaunchVehicle,LaunchVehicleCategory,lat,lon
Cape Canaveral,"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23) ",USA,Russia,National Reconnaissance Office/US Navy,Military,Earth Observation,LEO,1016,1203,1110,13.11,5000,03-Feb-05,Lockheed Martin,USA,Atlas 3B,Atlas,28.5,-81
Cape Canaveral,"SB-WASS 3-3 (Space Based Wide Area Surveillance System) (NOSS 3-3, USA 181, NRO L23) ",USA,Russia,National Reconnaissance Office/US Navy,Military,Earth Observation,LEO,1017,1203,1110,13.11,5000,03-Feb-05,Lockheed Martin,USA,Atlas 3B,Atlas,28.5,-81
Cape Canaveral,"SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30)",USA,Russia,National Reconnaissance Office/US Navy,Military,Earth Observation,LEO,1016,1201,1109,13.11,5000,15-Jun-07,Lockheed Martin,USA,Atlas 5,Atlas,28.5,-81
Cape Canaveral,"SB-WASS 3-4 (Space Based Wide Area Surveillance System) NOSS 3-4, USA 194, NRO L30)",USA,Russia,National Reconnaissance Office/US Navy,Military,Earth Observation,LEO,1015,1200,1108,13.11,5000,15-Jun-07,Lockheed Martin,USA,Atlas 5,Atlas,28.5,-81
Vandenberg AFB,"Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245)",USA,ESA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,257,997,627,12.63,18000,28-Aug-13,Lockheed Martin,USA,Delta 4 Heavy,Delta,34.4,-120.35
Vandenberg AFB,"Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224)",USA,China,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,200,1000,600,12.6,18000,20-Jan-11,Lockheed Martin,USA,Delta 4 Heavy,Delta,34.4,-120.35
Vandenberg AFB,"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)",USA,India,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,264,1050,657,12.66,18000,19-Oct-05,Lockheed Martin,USA,Titan IV,Other,34.4,-120.35
Vandenberg AFB,"Lacrosse/Onyx 3 (Lacrosse-3, USA 133)",USA,Israel,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,671,675,673,12.67,14500,24-Oct-97,Lockheed Martin Astronautics,USA,Titan IV,Other,34.4,-120.35
Vandenberg AFB,"Lacrosse/Onyx 4 (Lacrosse-4, USA 152)",USA,ESA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,574,676,625,12.63,14500,17-Aug-00,Lockheed Martin Astronautics,USA,Titan IV,Other,34.4,-120.35
Cape Canaveral,"Lacrosse/Onyx 5 (Lacrosse-5, NROL 16, USA 182)",USA,Japan,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,713,716,715,12.71,14500,30-Apr-05,Lockheed Martin Astronautics,USA,Titan 4B,Other,28.5,-81
Cape Canaveral,"Hubble Space Telescope (HST, Space Telescope)",USA,China,European Space Agency/NASA,Government,Space Science,LEO,555,559,557,12.56,11110,25-Apr-90,European Space Agency/NASA,International,Space Shuttle (STS 31),Other,28.5,-81
Jiuquan Satellite Launch Center,Tiangong-1 (TG-1),China,Argentina,   Beijing Aerospace Flight Control Center,Government,Technology Development,LEO,360,361,361,12.36,8506,29-Sep-11,Chinese Academy of Space Technology (CAST),China,Long March 2F,Long March,40.96,99.9
Cape Canaveral,"Mercury 1 (Advanced Vortex 1, USA 105)",USA,USA,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,GEO,35598,35976,35787,47.79,8000,27-Aug-94,Boeing Satellite Systems,USA,Titan IVA,Other,28.5,-81
Cape Canaveral,"Mercury 2 (Advanced Vortex 2, USA 118)",USA,USA,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,GEO,33674,37900,35787,47.79,8000,24-Apr-96,Boeing Satellite Systems,USA,Titan IVA,Other,28.5,-81
Cape Canaveral,"Trumpet 3 (NROL-4, National Reconnaissance Office Launch-4, USA 136)",USA,United Kingdom,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,Elliptical,1210,38740,19975,31.98,8000,08-Nov-97,Boeing Satellite Systems,USA,Titan IVA,Other,28.5,-81
Plesetsk Cosmodrome,Persona-2 (Cosmos 2486),Russia,Japan/USA,Ministry of Defense,Military,Earth Observation,LEO,714,733,724,12.72,7000,07-Jun-13,TsSKB Progress,Russia,Soyuz 2.1b,Soyuz,62.8,40.1
Plesetsk Cosmodrome,Persona-3 (Cosmos 2506),Russia,Japan,Ministry of Defense,Military,Earth Observation,LEO,706,725,716,12.72,7000,23-Jun-15,TsSKB Progress,Russia,Soyuz 2.1b,Soyuz,62.8,40.1
Guiana Space Center,TerraStar 1,USA,USA,TerraStar Corporation,Commercial,Communications,GEO,35783,35791,35787,47.79,6910,01-Jul-09,Space Systems/Loral,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Cape Canaveral,MUOS-1 (Mobile User Objective System 1),USA,USA,DoD/US Navy,Military,Communications,GEO,35569,36006,35788,47.79,6804,24-Feb-12,Lockheed Martin Missiles and Space,USA,Atlas 5,Atlas,28.5,-81
Cape Canaveral,MUOS-4 (Mobile User Objective System 4),NR (6/16),USA,DoD/US Navy,Military,Communications,GEO,35576,35997,35787,47.79,6804,02-Sep-15,Lockheed Martin Missiles and Space,USA,Atlas 5,Atlas,28.5,-81
Cape Canaveral,MUOS-2 (Mobile User Objective System 2),USA,USA,DoD/US Navy,Military,Communications,GEO,35550,36023,35787,47.79,6804,19-Jul-13,Lockheed Martin Missiles and Space,USA,Atlas 5,Atlas,28.5,-81
Cape Canaveral,MUOS-3 (Mobile User Objective System 3),USA,USA,DoD/US Navy,Military,Communications,GEO,35576,35998,35787,47.79,6804,21-Jan-15,Lockheed Martin Missiles and Space,USA,Atlas 5,Atlas,28.5,-81
Cape Canaveral,MUOS-5 (Mobile User Objective System 5),NR (6/16),USA,DoD/US Navy,Military,Communications,GEO,35576,35998,35787,47.79,6804,24-Jun-16,Lockheed Martin Missiles and Space,USA,Atlas 5,Atlas,28.5,-81
Baikonur Cosmodrome,ViaSat-1,USA,USA,"ViaSat, Inc.",Commercial,Communications,GEO,35775,35796,35786,47.79,6740,19-Oct-11,Space Systems/Loral,USA,Proton M,Proton,45.6,63.4
Baikonur Cosmodrome,Echostar 16,USA,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,35776,35796,35786,47.79,6658,20-Nov-12,Space Systems/Loral,USA,Proton M,Proton,45.6,63.4
Guiana Space Center,Eutelsat 65 West-A,NR (5/16),USA,Eutelsat S.A.,Commercial,Communications,GEO,35776,35796,35786,47.79,6654,09-Mar-16,Space Systems/Loral,USA,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,Alphasat I-XL__(Inmarsat IV-A F4),United Kingdom,USA,"INMARSAT, Ltd./European Space Agency",Commercial/Government,Communications/Technology Development,GEO,35786,35787,35787,47.79,6650,25-Jul-13,Astrium,France/Germany/Spain/UK,Ariane 5 ECA,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Resurs-DK1 (Resurs - High Resolution 1),Russia,China,TsSKB Progress (State Research & Production Space Rocket Center),Commercial/Government,Earth Observation,LEO,564,571,568,12.57,6650,15-Jun-06,TsSKB Progress (State Research & Production Space Rocket Center),Russia,Soyuz-Fregat,Soyuz,45.6,63.4
Cape Canaveral,"Echostar G1 (ICO G1, DBSD G1)",USA,USA,Dish Network,Commercial,Communications,GEO,35773,35799,35786,47.79,6600,14-Apr-08,Space Systems/Loral,USA,Atlas 5,Atlas,28.5,-81
Guiana Space Center,"Thaicom-4 (Ipstar 1, Measat 5)",NR,USA,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,35775,35798,35787,47.79,6505,11-Aug-05,Space Systems/Loral,USA,Ariane 5G,Ariane,5.2079,-52.7724
Guiana Space Center,Intelsat 29E,NR (5/16),USA,"Intelsat, S.A.",Commercial,Communications,GEO,35785,35788,35787,47.79,6500,27-Jan-16,Boeing Satellite Systems,USA,Ariane 5,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Intelsat 31/DLA 2,NR (6/16),USA,"Intelsat, S.A.",Commercial,Communications,GEO,35580,35860,35720,47.72,6450,09-Jun-16,Space Systems/Loral,USA,Proton,Proton,45.6,63.4
Guiana Space Center,NBN-1A (Sky Muster),NR (6/16),USA,NBN Co (operated by Optus),Commercial,Communications,GEO,35744,35777,35761,47.76,6440,30-Sep-15,Space Systems/Loral,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Echostar 14,USA,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,35785,35789,35787,47.79,6384,20-Mar-10,Space Systems/Loral,USA,Proton M,Proton,45.6,63.4
Guiana Space Center,"ABS-2 (Koreasat-8, ST-3)",NR,USA,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,35778,35793,35786,47.79,6330,06-Feb-14,Space Systems/Loral,USA,Ariane  5 ECA,Ariane,5.2079,-52.7724
Guiana Space Center,Echostar 18,NR (6/16),USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,35692,35788,35740,47.74,6300,19-Jun-16,Space Systems/Loral,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Guiana Space Center,Amazonas-3,Brazil,USA,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,35781,35791,35786,47.79,6265,07-Feb-13,Space Systems/Loral,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Guiana Space Center,Intelsat 30/DLA 1,NR,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35776,35793,35785,47.78,6220,16-Oct-14,Space Systems/Loral,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Intelsat 22,USA,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35781,35792,35787,47.79,6199,25-Mar-12,Boeing Space & Intelligence Systems,USA,Proton,Proton,45.6,63.4
Cape Canaveral,"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,USA,US Air Force,Military,Communications,GEO,35772,35801,35787,47.79,6169,03-May-12,Lockheed Martin Space Systems,USA,Atlas 5,Atlas,28.5,-81
Cape Canaveral,"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,USA,US Air Force,Military,Communications,GEO,35700,35803,35752,47.75,6169,18-Sep-13,Lockheed Martin Space Systems,USA,Atlas 5,Atlas,28.5,-81
Baikonur Cosmodrome,Eutelsat KA-SAT 9A (KA-SAT),France,USA,Eutelsat S.A.,Commercial,Communications,GEO,35714,35856,35785,47.79,6150,26-Dec-10,EADS Astrium,France/Germany/Spain/UK,Proton,Proton,45.6,63.4
Baikonur Cosmodrome,SES-6,NR,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,35757,35816,35787,47.79,6140,03-Jun-13,EADS Astrium,France/Germany/UK,Proton M,Proton,45.6,63.4
Baikonur Cosmodrome,INMARSAT 5 F2,United Kingdom,USA,"INMARSAT, Ltd.",Commercial,Communications,GEO,35784,35789,35787,47.79,6105,01-Feb-15,Boeing,USA,Proton M,Proton,45.6,63.4
Guiana Space Center,Echostar 17,USA,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,35781,35794,35788,47.79,6100,05-Jul-12,Space Systems/Loral,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Guiana Space Center,Spaceway 3,USA,USA,Hughes Network Systems,Commercial,Communications,GEO,35785,35787,35786,47.79,6100,14-Aug-07,Boeing Satellite Systems,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,INMARSAT 5 F3,United Kingdom,USA,"INMARSAT, Ltd.",Commercial,Communications,GEO,35780,35780,35780,47.78,6100,28-Aug-15,Boeing,USA,Proton M,Proton,45.6,63.4
Guiana Space Center,Intelsat 20 (IS-20),USA,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35780,35790,35785,47.79,6094,02-Aug-12,Space Systems/Loral,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,INMARSAT 5 F1,United Kingdom,USA,"INMARSAT, Ltd.",Commercial,Communications,GEO,35784,35790,35787,47.79,6070,08-Dec-13,Boeing,USA,Proton M,Proton,45.6,63.4
Baikonur Cosmodrome,Astra 2E,Luxembourg,USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,35781,35793,35787,47.79,6052,29-Sep-13,EADS Astrium,France,Proton M,Proton,45.6,63.4
Baikonur Cosmodrome,Sirius FM-6,USA,USA,Sirius XM Holdings,Commercial,Communications,GEO,35785,35791,35788,47.79,6020,25-Oct-13,Space Systems/Loral,USA,Proton M,Proton,45.6,63.4
Baikonur Cosmodrome,"SES-5 (Sirius 5, Astra 4B)",United Kingdom,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,35783,35791,35787,47.79,6007,09-Jul-12,Space Systems/Loral,USA,Proton M,Proton,45.6,63.4
Guiana Space Center,Astra 2F,Luxembourg,USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,35777,35795,35786,47.79,6000,28-Sep-12,EADS Astrium,France/Germany/UK,Ariane 5 ECA,Ariane,5.2079,-52.7724
