,NameOfSatellite,Operator.Owner,CountryOfOperatoOwner,OwnerCountryCapital,OperatorOwnerLat,OperatorOwnerLon,Contractor,CountryOfContractor,ContractorCountryzCapital,CountryOfContractorLat,CountryOfContractorLon,LaunchSite,lat,lon
558,QB50P1_(EO 79),von Karman Institute,China,Beijing,39.92,116.38,Innovative Solutions in Space (ISIS),Netherlands,Amsterdam,52.35,4.92,Dombarovsky Air Base,50.75,59.53
559,QB50P2 (EO 80),von Karman Institute,China,Beijing,39.92,116.38,Innovative Solutions in Space (ISIS),Netherlands,Amsterdam,52.35,4.92,Dombarovsky Air Base,50.75,59.53
560,Delfi-C3 (DO-64),"Technical University, Delft",China,Beijing,39.92,116.38,Technical University of Delft,Netherlands,Amsterdam,52.35,4.92,Satish Dhawan Space Center,13.9,80.4
735,G_kt_rk 2,Turkish Ministry of National Defense,Italy,Rome,41.9,12.48,T_B_TAK Space Technologies Research Institute/Turkish Aerospace Industries,Turkey,Ankara,39.93,32.87,Jiuquan Satellite Launch Center,40.96,99.9
736,ITU-pSAT1 (Istanbul Technical University Picosat-1),ITU Space Systems Design & Test Laboratory,Japan,Tokyo,35.68,139.75,ITU Space Systems Design & Test Laboratory,Turkey,Ankara,39.93,32.87,Satish Dhawan Space Center,13.9,80.4
737,RASAT,Space Technologies Research Institute,Japan,Tokyo,35.68,139.75,Space Technologies Research Institute,Turkey,Ankara,39.93,32.87,Dombarovsky Air Base,50.75,59.53
97,"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)",Chinese Academy of Sciences,Kazakhstan,Astana,51.17,71.42,China Academy of Sciences,China,Beijing,39.92,116.38,Taiyuan Launch Center,37.5,112.6
36,Naxing 2,Tsinghua University,China,Beijing,39.92,116.38,Tsinghua University,China,Beijing,39.92,116.38,Taiyuan Launch Center,37.5,112.6
37,"Shijian 6E (SJ6-03A, SJ-6E)",Chinese Academy of Space Technology (CAST),China,Beijing,39.92,116.38,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Beijing,39.92,116.38,Taiyuan Launch Center,37.5,112.6
38,"Shijian 7 (SJ7, Dong Fang Hong 65)",Chinese Academy of Space Technology (CAST),China,Beijing,39.92,116.38,Shanghai Academy of Space Flight Technology/Dongfanghong Satellite Co.,China,Beijing,39.92,116.38,Jiuquan Satellite Launch Center,40.96,99.9
49,XW-2A (CAS-3A),Chinese Amateur Satellite (CAMSAT),China,Beijing,39.92,116.38,DFH Satellite/CAMSAT,China,Beijing,39.92,116.38,Taiyuan Launch Center,37.5,112.6
51,DAMPE (Dark Matter Particle Explorer),Chinese Academy of Science,China,Beijing,39.92,116.38,Chinese Academy of Science,China,Beijing,39.92,116.38,Jiuquan Satellite Launch Center,40.96,99.9
54,Kaituo-1A (Xinyan-2),China Aerospace Science and Technology Corporation,China,Beijing,39.92,116.38,China Aerospace Science and Technology Corporation,China,Beijing,39.92,116.38,Taiyuan Launch Center,37.5,112.6
58,"DCBB (Kaituo-1B, CAS-3G)",China Amateur Satellite - CAMSAT,China,Beijing,39.92,116.38, Shenzhen Aerospace Dongfanghong HIT Satellite Ltd./CAMSAT,China,Beijing,39.92,116.38,Taiyuan Launch Center,37.5,112.6
67,Shijian 6C (SJ-6-02A),Chinese Academy of Space Technology (CAST),China,Beijing,39.92,116.38,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Beijing,39.92,116.38,Taiyuan Launch Center,37.5,112.6
68,Shijian 6H (SJ6_04B),Chinese Academy of Space Technology (CAST),China,Beijing,39.92,116.38,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Beijing,39.92,116.38,Taiyuan Launch Center,37.5,112.6
